DateTime,GpsPos,EventNumber,Data,Team
2019-06-23 04:52:59,N3709.66W00653.95,650,751,Team Tosca
2019-06-23 04:52:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:52:59,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 04:53:59,N3709.66W00653.95,331,2592,Team Tosca
2019-06-23 04:53:59,N3709.66W00653.95,640,781,Team Tosca
2019-06-23 04:53:59,N3709.66W00653.95,650,749,Team Tosca
2019-06-23 04:53:59,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:53:59,N3709.66W00653.95,770,74,Team Tosca
2019-06-23 04:55:00,N3709.66W00653.95,331,2603,Team Tosca
2019-06-23 04:55:00,N3709.66W00653.95,640,778,Team Tosca
2019-06-23 04:55:00,N3709.66W00653.95,650,752,Team Tosca
2019-06-23 04:55:00,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:55:00,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:56:00,N3709.66W00653.95,331,2612,Team Tosca
2019-06-23 04:56:00,N3709.66W00653.95,640,769,Team Tosca
2019-06-23 04:56:00,N3709.66W00653.95,650,752,Team Tosca
2019-06-23 04:56:00,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:56:00,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:57:00,N3709.66W00653.95,331,2626,Team Tosca
2019-06-23 04:57:00,N3709.66W00653.95,640,773,Team Tosca
2019-06-23 04:57:00,N3709.66W00653.95,650,757,Team Tosca
2019-06-23 04:57:00,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:57:00,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:57:54,-,250,0,Team Tosca
2019-06-23 04:58:00,N3709.66W00653.95,640,774,Team Tosca
2019-06-23 04:58:00,N3709.66W00653.95,650,756,Team Tosca
2019-06-23 04:58:00,N3709.66W00653.95,760,70,Team Tosca
2019-06-23 04:58:00,N3709.66W00653.95,770,75,Team Tosca
2019-06-23 04:58:39,N3709.66W00653.95,165,0,Team Tosca
2019-06-23 04:58:39,-,400,0,Team Tosca
2019-06-23 04:58:54,N3709.66W00653.95,160,0,Team Tosca
2019-06-23 04:58:54,-,380,0,Team Tosca
2019-06-23 04:59:22,-,190,0,Team Tosca
