Team Toccata;;
PB-01998;;
V3.1.17 ;;
DateTime;AlarmNumber;
2019-03-19 03:00:17;13;
2019-03-19 03:08:54;1140;
2019-03-19 03:08:54;2140;
2019-03-19 03:50:59;1161;
2019-03-19 03:52:16;2160;
2019-03-19 03:52:21;2130;
2019-03-19 03:52:28;2163;
2019-03-19 03:52:28;2164;
2019-03-19 03:52:42;2161;
2019-03-19 03:53:46;2154;
2019-03-19 03:53:56;2153;
2019-03-19 04:05:37;1160;
2019-03-19 04:05:42;1130;
2019-03-19 04:08:38;2131;
2019-03-19 04:08:38;77;
2019-03-19 04:17:10;1161;
2019-03-19 04:17:13;2161;
2019-03-19 04:17:21;1161;
2019-03-19 04:20:09;1163;
2019-03-19 04:20:09;1164;
2019-03-19 04:20:31;1131;
2019-03-19 04:20:31;77;
2019-03-19 04:22:16;1161;
2019-03-19 04:22:16;2161;
2019-03-19 04:25:43;2161;
2019-03-19 04:26:21;1161;
2019-03-19 04:29:12;2131;
2019-03-19 04:36:29;1131;
2019-03-19 06:07:04;33;
2019-03-19 10:17:28;2161;
2019-03-19 10:17:55;1161;
2019-03-19 10:19:14;1122;
2019-03-19 10:19:14;1126;
2019-03-19 10:19:14;1137;
2019-03-19 10:19:14;1187;
2019-03-19 10:19:15;1138;
2019-03-19 10:19:18;1109;
2019-03-19 10:19:18;1113;
2019-03-19 10:19:18;1128;
2019-03-19 10:19:18;1129;
2019-03-19 10:19:18;1181;
2019-03-19 10:19:33;2122;
2019-03-19 10:19:33;2126;
2019-03-19 10:19:33;2137;
2019-03-19 10:19:33;2187;
2019-03-19 10:19:33;1151;
2019-03-19 10:19:34;2138;
2019-03-19 10:19:37;2109;
2019-03-19 10:19:37;2113;
2019-03-19 10:19:37;2128;
2019-03-19 10:19:37;2129;
2019-03-19 10:19:37;2181;
2019-03-19 10:19:52;2151;
2019-03-19 10:23:48;1160;
2019-03-19 10:23:48;1161;
2019-03-19 10:23:50;2160;
2019-03-19 10:23:53;1130;
2019-03-19 10:23:56;2130;
2019-03-19 10:23:59;1131;
2019-03-19 10:23:59;2131;
2019-03-19 10:24:45;2161;
2019-03-19 10:36:39;1161;
2019-03-19 10:36:40;2161;
2019-03-19 11:00:09;2160;
2019-03-19 11:00:14;2130;
2019-03-19 11:00:18;2131;
2019-03-19 11:01:24;1160;
2019-03-19 11:01:29;1130;
2019-03-19 11:01:34;1131;
2019-03-19 11:47:10;2161;
2019-03-19 11:47:18;1161;
2019-03-19 12:12:47;2160;
2019-03-19 12:12:52;2130;
2019-03-19 12:12:55;2131;
2019-03-19 12:16:34;1160;
2019-03-19 12:16:39;1130;
2019-03-19 12:16:45;1131;
2019-03-19 12:22:45;1122;
2019-03-19 12:22:45;1126;
2019-03-19 12:22:45;1137;
2019-03-19 12:22:45;1187;
2019-03-19 12:22:46;1138;
2019-03-19 12:22:47;2122;
2019-03-19 12:22:47;2126;
2019-03-19 12:22:47;2137;
2019-03-19 12:22:47;2187;
2019-03-19 12:22:48;2138;
2019-03-19 12:22:49;1109;
2019-03-19 12:22:49;1113;
2019-03-19 12:22:49;1128;
2019-03-19 12:22:49;1129;
2019-03-19 12:22:49;1181;
2019-03-19 12:22:51;1117;
2019-03-19 12:22:51;1183;
2019-03-19 12:22:51;2109;
2019-03-19 12:22:51;2113;
2019-03-19 12:22:51;2128;
2019-03-19 12:22:51;2129;
2019-03-19 12:22:51;2181;
2019-03-19 12:22:53;2117;
2019-03-19 12:22:53;2183;
2019-03-19 12:23:04;1151;
2019-03-19 12:23:06;2151;
2019-03-19 12:23:09;1170;
2019-03-19 12:23:09;1171;
2019-03-19 12:23:11;2170;
2019-03-19 12:23:11;2171;
2019-03-19 12:50:33;2160;
2019-03-19 12:50:36;1160;
2019-03-19 12:50:36;1161;
2019-03-19 12:50:38;2130;
2019-03-19 12:50:41;1130;
2019-03-19 12:50:41;2131;
2019-03-19 12:50:44;1131;
2019-03-19 12:50:53;2161;
2019-03-19 13:01:25;1183;
2019-03-19 13:01:26;1117;
2019-03-19 13:01:28;2183;
2019-03-19 13:01:28;2117;
2019-03-19 13:10:17;33;
2019-03-19 13:16:35;1122;
2019-03-19 13:16:35;1126;
2019-03-19 13:16:35;1137;
2019-03-19 13:16:35;1187;
2019-03-19 13:16:36;1138;
2019-03-19 13:16:37;2122;
2019-03-19 13:16:37;2126;
2019-03-19 13:16:37;2137;
2019-03-19 13:16:37;2187;
2019-03-19 13:16:38;2138;
2019-03-19 13:16:39;1109;
2019-03-19 13:16:39;1113;
2019-03-19 13:16:39;1128;
2019-03-19 13:16:39;1129;
2019-03-19 13:16:39;1181;
2019-03-19 13:16:41;2109;
2019-03-19 13:16:41;2113;
2019-03-19 13:16:41;2128;
2019-03-19 13:16:41;2129;
2019-03-19 13:16:41;2181;
2019-03-19 13:16:54;1151;
2019-03-19 13:16:56;2151;
2019-03-19 13:16:59;1170;
2019-03-19 13:16:59;1171;
2019-03-19 13:17:01;2170;
2019-03-19 13:17:01;2171;
2019-03-21 17:48:15;66;
2019-03-27 21:37:18;96;
2019-03-29 16:39:49;66;
2019-04-05 01:42:36;96;
2019-04-05 21:12:08;1117;
2019-04-05 21:12:08;1183;
2019-04-05 21:12:08;2117;
2019-04-05 21:12:08;2183;
2019-04-05 21:14:07;1183;
2019-04-05 21:14:52;1160;
2019-04-05 21:14:52;1161;
2019-04-05 21:14:57;1130;
2019-04-05 21:15:00;1131;
2019-04-05 21:15:18;1161;
2019-04-05 21:16:05;1161;
2019-04-05 21:16:17;1117;
2019-04-05 21:16:17;1183;
2019-04-05 21:18:16;1160;
2019-04-05 21:18:21;1130;
2019-04-05 21:18:25;1131;
2019-04-05 21:19:21;1161;
2019-04-05 21:21:06;29;
2019-04-05 21:24:09;1161;
2019-04-05 21:24:59;33;
2019-04-05 21:25:28;1161;
2019-04-05 21:55:54;1160;
2019-04-05 21:55:59;1130;
2019-04-05 21:56:02;1131;
2019-04-06 12:28:38;1122;
2019-04-06 12:28:38;1126;
2019-04-06 12:28:38;1137;
2019-04-06 12:28:38;1187;
2019-04-06 12:28:39;1138;
2019-04-06 12:28:42;1109;
2019-04-06 12:28:42;1113;
2019-04-06 12:28:42;1128;
2019-04-06 12:28:42;1129;
2019-04-06 12:28:42;1181;
2019-04-06 12:28:57;1151;
2019-04-06 12:29:02;1170;
2019-04-06 12:29:02;1171;
2019-04-06 14:42:21;33;
2019-04-08 04:26:08;96;
2099-08-28 03:51:13;96;
2099-08-29 16:01:38;2117;
2099-08-29 16:01:38;2183;
2099-08-29 16:10:13;29;
2099-08-29 16:11:30;2117;
2099-08-29 16:11:30;2183;
2099-08-29 16:18:02;1129;
2099-08-29 16:18:02;77;
2099-08-29 16:23:41;1129;
2099-08-29 16:27:32;1129;
2099-08-29 16:27:32;77;
2099-08-29 16:31:01;1129;
2099-08-29 16:54:04;1130;
2099-08-29 16:54:08;1160;
2099-08-29 16:54:08;1161;
2099-08-29 16:54:19;1163;
2099-08-29 16:54:19;1164;
2099-08-29 16:54:29;1153;
2099-08-29 16:54:35;1161;
2099-08-29 16:55:41;1161;
2099-08-29 17:01:07;1122;
2099-08-29 17:01:07;1126;
2099-08-29 17:01:07;1137;
2099-08-29 17:01:07;1187;
2099-08-29 17:01:08;1138;
2099-08-29 17:01:11;1109;
2099-08-29 17:01:11;1113;
2099-08-29 17:01:11;1128;
2099-08-29 17:01:11;1129;
2099-08-29 17:01:11;1181;
2099-08-29 17:01:26;1151;
2099-08-29 17:01:31;1170;
2099-08-29 17:01:31;1171;
2099-08-30 06:26:07;96;
2099-08-30 14:14:19;1160;
2099-08-30 14:14:24;1130;
2099-08-30 14:14:26;1161;
2099-08-30 14:14:28;1131;
2099-08-30 14:14:57;1161;
2099-08-30 14:18:10;2117;
2099-08-30 14:18:10;2183;
2099-08-30 14:21:04;1117;
2099-08-30 14:21:05;1183;
2099-08-30 14:38:20;1122;
2099-08-30 14:38:20;1137;
2099-08-30 14:38:20;1187;
2099-08-30 14:38:21;1138;
2099-08-30 14:38:24;1109;
2099-08-30 14:38:24;1113;
2099-08-30 14:38:24;1128;
2099-08-30 14:38:24;1129;
2099-08-30 14:38:24;1181;
2099-08-30 14:38:39;1151;
2099-08-30 14:38:44;1170;
2099-08-30 14:38:44;1171;
2099-08-30 20:12:38;33;
2099-08-30 20:14:24;66;
2099-08-31 01:51:20;96;
2099-09-01 02:02:59;96;
2099-09-01 14:09:20;1117;
2099-09-01 14:09:20;1183;
2099-09-01 14:09:20;2117;
2099-09-01 14:09:20;2183;
2099-09-01 14:10:54;1160;
2099-09-01 14:10:59;1130;
2099-09-01 14:11:00;1161;
2099-09-01 14:12:39;1161;
2099-09-01 14:15:35;33;
2099-09-01 14:16:14;1122;
2099-09-01 14:16:14;1126;
2099-09-01 14:16:14;1137;
2099-09-01 14:16:14;1187;
2099-09-01 14:16:15;1138;
2099-09-01 14:16:18;1109;
2099-09-01 14:16:18;1113;
2099-09-01 14:16:18;1128;
2099-09-01 14:16:18;1129;
2099-09-01 14:16:18;1181;
2099-09-01 14:16:33;1151;
2099-09-01 14:16:38;1170;
2099-09-01 14:16:38;1171;
2099-09-02 00:23:27;1130;
2099-09-02 00:23:28;1165;
2099-09-02 00:25:24;1153;
2099-09-02 00:26:45;13;
2099-09-02 00:33:53;1165;
2099-09-02 00:33:54;1130;
2099-09-02 00:39:45;1122;
2099-09-02 00:39:45;1126;
2099-09-02 00:39:45;1137;
2099-09-02 00:39:45;1187;
2099-09-02 00:39:46;1138;
2099-09-02 00:39:49;1109;
2099-09-02 00:39:49;1113;
2099-09-02 00:39:49;1128;
2099-09-02 00:39:49;1129;
2099-09-02 00:39:49;1181;
2099-09-02 00:40:04;1151;
2099-09-02 00:40:09;1170;
2099-09-02 00:40:09;1171;
2099-09-03 06:18:19;1129;
2099-09-03 06:38:02;96;
2099-09-03 20:32:23;1165;
2099-09-03 20:32:25;1130;
2099-09-03 20:35:36;1129;
2099-09-04 13:20:07;33;
2099-09-05 02:25:07;1129;
2099-09-05 08:46:24;96;
2099-09-05 17:07:11;1129;
2099-09-08 03:18:36;1165;
2099-09-08 03:18:39;1130;
2099-09-08 03:27:11;1165;
2099-09-08 03:27:12;1130;
2099-09-08 03:28:58;1154;
2099-09-08 03:29:08;1153;
2099-09-08 03:38:02;1122;
2099-09-08 03:38:02;1126;
2099-09-08 03:38:02;1137;
2099-09-08 03:38:02;1187;
2099-09-08 03:38:03;1138;
2099-09-08 03:38:06;1109;
2099-09-08 03:38:06;1113;
2099-09-08 03:38:06;1128;
2099-09-08 03:38:06;1129;
2099-09-08 03:38:06;1181;
2099-09-08 03:38:21;1151;
2099-09-08 03:38:26;1170;
2099-09-08 03:38:26;1171;
2099-09-08 04:25:53;1160;
2099-09-08 04:25:58;1130;
2099-09-08 04:25:59;1161;
2099-09-08 04:26:01;1131;
2099-09-08 04:26:55;1122;
2099-09-08 04:26:55;1126;
2099-09-08 04:26:55;1137;
2099-09-08 04:26:55;1187;
2099-09-08 04:26:56;1138;
2099-09-08 04:26:59;1109;
2099-09-08 04:26:59;1113;
2099-09-08 04:26:59;1128;
2099-09-08 04:26:59;1129;
2099-09-08 04:26:59;1181;
2099-09-08 04:31:22;1154;
2099-09-08 04:35:42;13;
2099-09-08 04:43:48;1154;
2099-09-08 14:28:29;1154;
2099-09-08 14:30:38;1154;
2099-09-08 19:17:20;96;
2099-09-08 19:31:14;96;
2099-09-08 21:03:05;96;
2099-09-09 21:27:30;1129;
2099-09-09 22:10:37;1154;
2099-09-09 22:11:54;1154;
2099-09-09 22:11:57;40;
2099-09-09 22:12:18;13;
2099-09-10 01:59:21;1154;
2099-09-11 01:05:30;1129;
2099-09-11 16:05:51;1129;
2099-09-11 22:49:47;1129;
2099-09-12 16:32:05;1129;
2099-09-12 22:02:38;1129;
2099-09-15 08:17:37;1154;
2099-09-15 16:09:17;96;
2099-09-15 16:25:52;96;
2099-09-15 17:12:24;96;
2019-05-01 17:14:18;2140;
2019-05-01 21:29:54;2117;
2019-05-01 21:29:54;2183;
2019-05-01 21:34:47;2160;
2019-05-01 21:34:47;2161;
2019-05-01 21:34:52;2130;
2019-05-01 21:35:04;2131;
2019-05-01 21:36:46;2161;
2019-05-01 21:37:37;2161;
2019-05-01 21:38:41;2161;
2019-05-01 21:39:49;2161;
2019-05-01 21:41:35;2122;
2019-05-01 21:41:35;2126;
2019-05-01 21:41:35;2137;
2019-05-01 21:41:35;2187;
2019-05-01 21:41:36;2138;
2019-05-01 21:41:39;2109;
2019-05-01 21:41:39;2113;
2019-05-01 21:41:39;2128;
2019-05-01 21:41:39;2129;
2019-05-01 21:41:39;2181;
2019-05-01 21:41:54;2151;
2019-05-01 21:41:59;2170;
2019-05-01 21:41:59;2171;
2019-05-01 22:09:51;2117;
2019-05-01 22:09:51;2183;
2019-05-01 22:14:36;96;
2019-05-01 22:19:18;2160;
2019-05-01 22:19:23;2130;
2019-05-01 22:19:28;2131;
2019-05-01 22:19:35;2161;
2019-05-01 22:30:11;2122;
2019-05-01 22:30:11;2126;
2019-05-01 22:30:11;2137;
2019-05-01 22:30:11;2187;
2019-05-01 22:30:12;2138;
2019-05-01 22:30:15;2109;
2019-05-01 22:30:15;2113;
2019-05-01 22:30:15;2128;
2019-05-01 22:30:15;2129;
2019-05-01 22:30:15;2181;
2019-05-01 22:30:30;2151;
2019-05-01 22:30:35;2170;
2019-05-01 22:30:35;2171;
2019-05-01 22:40:22;1154;
2019-05-02 02:45:51;2117;
2019-05-02 02:45:51;2183;
2019-05-02 02:58:43;2154;
2019-05-02 03:22:04;2154;
2019-05-02 03:25:04;2154;
2019-05-02 03:41:57;2154;
2019-05-02 03:46:11;2154;
2019-05-02 03:51:32;2154;
2019-05-02 05:48:29;2154;
2019-05-02 06:00:42;2154;
2019-05-02 07:47:32;2154;
2019-05-02 13:01:20;13;
2019-05-02 13:53:12;1163;
2019-05-02 13:53:12;1164;
2019-05-02 13:53:19;1160;
2019-05-02 13:53:22;1161;
2019-05-02 13:53:24;1130;
2019-05-02 13:53:27;1131;
2019-05-02 13:53:27;77;
2019-05-02 13:54:07;1161;
2019-05-02 13:54:18;1161;
2019-05-02 13:54:45;1161;
2019-05-02 13:55:16;1161;
2019-05-02 13:55:46;1161;
2019-05-02 13:56:13;1161;
2019-05-02 13:56:36;1161;
