DateTime,GpsPos,EventNumber,Data,Team
2019-03-18 08:02:09,N5224.0579E00446.595,770,100,Team Toccata
2019-03-18 08:03:09,N5224.0580E00446.595,341,4336,Team Toccata
2019-03-18 08:03:09,N5224.0580E00446.595,640,1447,Team Toccata
2019-03-18 08:03:09,N5224.0580E00446.595,650,1345,Team Toccata
2019-03-18 08:03:09,N5224.0580E00446.595,760,100,Team Toccata
2019-03-18 08:03:09,N5224.0580E00446.595,770,100,Team Toccata
2019-03-18 08:04:09,N5224.0580E00446.595,341,4348,Team Toccata
2019-03-18 08:04:09,N5224.0580E00446.595,640,1431,Team Toccata
2019-03-18 08:04:09,N5224.0580E00446.595,650,1333,Team Toccata
2019-03-18 08:04:09,N5224.0580E00446.595,760,100,Team Toccata
2019-03-18 08:04:09,N5224.0580E00446.595,770,100,Team Toccata
2019-03-18 08:05:09,N5224.0577E00446.595,341,4359,Team Toccata
2019-03-18 08:05:09,N5224.0577E00446.595,640,997,Team Toccata
2019-03-18 08:05:09,N5224.0577E00446.595,650,969,Team Toccata
2019-03-18 08:05:09,N5224.0577E00446.595,760,100,Team Toccata
2019-03-18 08:05:09,N5224.0577E00446.595,770,100,Team Toccata
2019-03-18 08:06:09,N5224.0576E00446.595,341,4370,Team Toccata
2019-03-18 08:06:09,N5224.0576E00446.595,640,754,Team Toccata
2019-03-18 08:06:09,N5224.0576E00446.595,650,727,Team Toccata
2019-03-18 08:06:09,N5224.0576E00446.595,760,100,Team Toccata
2019-03-18 08:06:09,N5224.0576E00446.595,770,100,Team Toccata
2019-03-18 08:07:09,N5224.0576E00446.595,341,4381,Team Toccata
2019-03-18 08:07:09,N5224.0576E00446.595,640,654,Team Toccata
2019-03-18 08:07:09,N5224.0576E00446.595,650,679,Team Toccata
2019-03-18 08:07:09,N5224.0576E00446.595,760,100,Team Toccata
2019-03-18 08:07:09,N5224.0576E00446.595,770,100,Team Toccata
2019-03-18 08:08:10,N5224.0576E00446.595,341,4391,Team Toccata
2019-03-18 08:08:10,N5224.0576E00446.595,640,602,Team Toccata
2019-03-18 08:08:10,N5224.0576E00446.595,650,651,Team Toccata
2019-03-18 08:08:10,N5224.0576E00446.595,760,100,Team Toccata
2019-03-18 08:08:10,N5224.0576E00446.595,770,100,Team Toccata
2019-03-18 08:09:10,N5224.0576E00446.595,341,4401,Team Toccata
2019-03-18 08:09:10,N5224.0576E00446.595,640,552,Team Toccata
2019-03-18 08:09:10,N5224.0576E00446.595,650,593,Team Toccata
2019-03-18 08:09:10,N5224.0576E00446.595,760,100,Team Toccata
2019-03-18 08:09:10,N5224.0576E00446.595,770,100,Team Toccata
