Data,DateTime,EventNumber,GpsPos,Team
99,2019-08-23 20:24:40,770,N1813.45W09427.92,Team Tosca
21,2019-08-23 20:25:40,331,N1813.45W09427.92,Team Tosca
1316,2019-08-23 20:25:40,640,N1813.45W09427.92,Team Tosca
1516,2019-08-23 20:25:40,650,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:25:40,760,N1813.45W09427.92,Team Tosca
99,2019-08-23 20:25:40,770,N1813.45W09427.92,Team Tosca
33,2019-08-23 20:26:40,331,N1813.45W09427.92,Team Tosca
1548,2019-08-23 20:26:40,640,N1813.45W09427.92,Team Tosca
1576,2019-08-23 20:26:40,650,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:26:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:26:40,770,N1813.45W09427.92,Team Tosca
45,2019-08-23 20:27:40,331,N1813.45W09427.92,Team Tosca
1677,2019-08-23 20:27:40,640,N1813.45W09427.92,Team Tosca
1630,2019-08-23 20:27:40,650,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:27:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:27:40,770,N1813.45W09427.92,Team Tosca
56,2019-08-23 20:28:40,331,N1813.45W09427.92,Team Tosca
1672,2019-08-23 20:28:40,640,N1813.45W09427.92,Team Tosca
1629,2019-08-23 20:28:40,650,N1813.45W09427.92,Team Tosca
99,2019-08-23 20:28:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:28:40,770,N1813.45W09427.92,Team Tosca
67,2019-08-23 20:29:40,331,N1813.45W09427.92,Team Tosca
1635,2019-08-23 20:29:40,640,N1813.45W09427.92,Team Tosca
1598,2019-08-23 20:29:40,650,N1813.45W09427.92,Team Tosca
99,2019-08-23 20:29:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:29:40,770,N1813.45W09427.92,Team Tosca
77,2019-08-23 20:30:40,331,N1813.45W09427.92,Team Tosca
1426,2019-08-23 20:30:40,640,N1813.45W09427.92,Team Tosca
1414,2019-08-23 20:30:40,650,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:30:40,760,N1813.45W09427.92,Team Tosca
100,2019-08-23 20:30:40,770,N1813.45W09427.92,Team Tosca
0,2019-08-23 20:30:58,240,-,Team Tosca
0,2019-08-23 20:31:30,806,N1813.44W09427.92,Team Tosca
86,2019-08-23 20:31:40,331,N1813.44W09427.92,Team Tosca
1563,2019-08-23 20:31:40,640,N1813.44W09427.92,Team Tosca
1481,2019-08-23 20:31:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:31:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:31:40,770,N1813.44W09427.92,Team Tosca
96,2019-08-23 20:32:40,331,N1813.44W09427.92,Team Tosca
1678,2019-08-23 20:32:40,640,N1813.44W09427.92,Team Tosca
1611,2019-08-23 20:32:40,650,N1813.44W09427.92,Team Tosca
99,2019-08-23 20:32:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:32:40,770,N1813.44W09427.92,Team Tosca
105,2019-08-23 20:33:40,331,N1813.44W09427.92,Team Tosca
1315,2019-08-23 20:33:40,640,N1813.44W09427.92,Team Tosca
1428,2019-08-23 20:33:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:33:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:33:40,770,N1813.44W09427.92,Team Tosca
112,2019-08-23 20:34:40,331,N1813.44W09427.92,Team Tosca
1058,2019-08-23 20:34:40,640,N1813.44W09427.92,Team Tosca
1281,2019-08-23 20:34:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:34:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:34:40,770,N1813.44W09427.92,Team Tosca
121,2019-08-23 20:35:40,331,N1813.44W09427.92,Team Tosca
830,2019-08-23 20:35:40,640,N1813.44W09427.92,Team Tosca
991,2019-08-23 20:35:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:35:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:35:40,770,N1813.44W09427.92,Team Tosca
127,2019-08-23 20:36:40,331,N1813.44W09427.92,Team Tosca
1293,2019-08-23 20:36:40,640,N1813.44W09427.92,Team Tosca
1282,2019-08-23 20:36:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:36:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:36:40,770,N1813.44W09427.92,Team Tosca
133,2019-08-23 20:37:40,331,N1813.44W09427.92,Team Tosca
1119,2019-08-23 20:37:40,640,N1813.44W09427.92,Team Tosca
1249,2019-08-23 20:37:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:37:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:37:40,770,N1813.44W09427.92,Team Tosca
139,2019-08-23 20:38:40,331,N1813.44W09427.92,Team Tosca
1240,2019-08-23 20:38:40,640,N1813.44W09427.92,Team Tosca
1294,2019-08-23 20:38:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:38:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:38:40,770,N1813.44W09427.92,Team Tosca
145,2019-08-23 20:39:40,331,N1813.44W09427.92,Team Tosca
1121,2019-08-23 20:39:40,640,N1813.44W09427.92,Team Tosca
1304,2019-08-23 20:39:40,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:39:40,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:39:40,770,N1813.44W09427.92,Team Tosca
0,2019-08-23 20:40:05,240,-,Team Tosca
0,2019-08-23 20:40:36,806,N1813.44W09427.92,Team Tosca
151,2019-08-23 20:40:41,331,N1813.44W09427.92,Team Tosca
1123,2019-08-23 20:40:41,640,N1813.44W09427.92,Team Tosca
1197,2019-08-23 20:40:41,650,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:40:41,760,N1813.44W09427.92,Team Tosca
100,2019-08-23 20:40:41,770,N1813.44W09427.92,Team Tosca
160,2019-08-23 20:41:41,331,N1813.43W09427.92,Team Tosca
1029,2019-08-23 20:41:41,640,N1813.43W09427.92,Team Tosca
1300,2019-08-23 20:41:41,650,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:41:41,760,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:41:41,770,N1813.43W09427.92,Team Tosca
172,2019-08-23 20:42:41,331,N1813.43W09427.92,Team Tosca
817,2019-08-23 20:42:41,640,N1813.43W09427.92,Team Tosca
1055,2019-08-23 20:42:41,650,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:42:41,760,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:42:41,770,N1813.43W09427.92,Team Tosca
185,2019-08-23 20:43:41,331,N1813.43W09427.92,Team Tosca
873,2019-08-23 20:43:41,640,N1813.43W09427.92,Team Tosca
920,2019-08-23 20:43:41,650,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:43:41,760,N1813.43W09427.92,Team Tosca
100,2019-08-23 20:43:41,770,N1813.43W09427.92,Team Tosca
198,2019-08-23 20:44:41,331,N1813.43W09427.92,Team Tosca
